pitch;yaw;velocity
-1.58338e+75;-8.70733e+74;-1.89677e+74
9.75218e+75;-1.27435e+75;6.09637e+74
1.48426e+76;-3.19259e+75;1.12359e+75
1.71892e+76;-2.99182e+75;-2.29784e+73
9.18441e+75;-2.35324e+75;-9.66223e+73
7.11648e+74;6.59404e+75;3.60859e+74
-5.84844e+76;1.99052e+76;-1.4545e+75
-1.01559e+77;4.35042e+76;-6.84535e+75
-2.21879e+77;2.86099e+76;-9.57391e+75
-3.29267e+77;4.2643e+76;-1.18192e+75
-3.42756e+77;4.92075e+76;1.13679e+76
-1.45826e+77;6.83329e+76;-4.04545e+75
2.21379e+77;5.60328e+76;-1.13295e+76
2.90991e+77;7.40489e+76;-1.94605e+76
5.84955e+77;-1.02925e+77;-9.01921e+76
5.48578e+77;4.13723e+76;-3.79197e+76
5.45157e+77;-7.18747e+77;-2.51295e+76
3.99211e+76;-1.78333e+77;2.61418e+77
-3.4632e+77;-1.83463e+78;1.87671e+77
-1.98942e+78;-3.04215e+78;3.36072e+77
-4.11687e+78;-2.77967e+78;6.53781e+75
-7.21106e+78;-1.79927e+78;2.9133e+77
-7.79544e+78;-1.86952e+78;-1.311e+77
1.46237e+78;6.02878e+78;-4.27923e+76
1.2762e+79;4.53252e+78;-1.54546e+77
-8.74664e+78;3.90919e+76;-2.54154e+78
4.74545e+79;6.63902e+78;-1.48405e+78
4.23089e+79;3.19312e+78;-5.23547e+78
-1.68198e+79;1.03287e+79;-7.67643e+78
-7.16529e+79;2.14061e+79;-1.48337e+79
-1.23356e+80;-5.1699e+79;5.48074e+77
-2.75913e+80;-4.08366e+79;2.00864e+79
-3.17772e+80;-2.42168e+79;2.18609e+79
-3.93019e+80;-1.67101e+80;6.54443e+79
-1.17417e+81;-1.06067e+80;6.52149e+79
-1.57134e+81;-3.06473e+80;6.80971e+79
-4.99416e+80;-3.84244e+80;-7.34038e+79
1.28491e+81;-4.65921e+80;-2.84604e+80
-5.10219e+80;-6.11845e+80;-1.87152e+80
-2.53673e+80;-7.86339e+80;-1.64754e+80
7.02506e+80;-1.43507e+81;7.01935e+79
4.95695e+81;8.59664e+80;4.31844e+79
1.18076e+82;-8.67877e+80;2.92075e+80
1.1164e+82;-5.45266e+80;-2.86195e+79
6.25661e+81;5.06751e+81;9.41152e+79
1.74258e+82;2.96705e+81;-1.63289e+81
